order_id,product_id,sales
ca-2017-152156,fur-bo-10001798,261.96
ca-2017-152156,fur-ch-10000454,731.94
ca-2017-138688,off-la-10000240,14.62
us-2016-108966,fur-ta-10000577,957.5775
us-2016-108966,off-st-10000760,22.368
ca-2015-115812,fur-fu-10001487,48.86
ca-2015-115812,off-ar-10002833,7.28
ca-2015-115812,tec-ph-10002275,907.152
ca-2015-115812,off-bi-10003910,18.504
ca-2015-115812,off-ap-10002892,114.9
ca-2015-115812,fur-ta-10001539,1706.184
ca-2015-115812,tec-ph-10002033,911.424
ca-2018-114412,off-pa-10002365,15.552
ca-2017-161389,off-bi-10003656,407.976
us-2016-118983,off-ap-10002311,68.81
us-2016-118983,off-bi-10000756,2.544
ca-2015-105893,off-st-10004186,665.88
ca-2015-167164,off-st-10000107,55.5
ca-2015-143336,off-ar-10003056,8.56
ca-2015-143336,tec-ph-10001949,213.48
ca-2015-143336,off-bi-10002215,22.72
ca-2017-137330,off-ar-10000246,19.46
ca-2017-137330,off-ap-10001492,60.34
us-2018-156909,fur-ch-10002774,71.372
ca-2016-106320,fur-ta-10000577,1044.63
ca-2017-121755,off-bi-10001634,11.648
ca-2017-121755,tec-ac-10003027,90.57
us-2016-150630,fur-bo-10004834,3083.43
us-2016-150630,off-bi-10000474,9.618
us-2016-150630,fur-fu-10004848,124.2
us-2016-150630,off-en-10001509,3.264
us-2016-150630,off-ar-10004042,86.304
us-2016-150630,off-bi-10001525,6.858
us-2016-150630,off-ar-10001683,15.76
ca-2018-107727,off-pa-10000474,29.472
ca-2017-117590,tec-ph-10004977,1097.544
ca-2017-117590,fur-fu-10003664,190.92
ca-2016-117415,off-en-10002986,113.328
ca-2016-117415,fur-bo-10002545,532.3992
ca-2016-117415,fur-ch-10004218,212.058
ca-2016-117415,tec-ph-10000486,371.168
ca-2018-120999,tec-ph-10004093,147.168
ca-2017-101343,off-st-10003479,77.88
ca-2018-139619,off-st-10003282,95.616
ca-2017-118255,tec-ac-10000171,45.98
ca-2017-118255,off-bi-10003291,17.46
ca-2015-146703,off-st-10001713,211.96
ca-2017-169194,tec-ac-10002167,45.0
ca-2017-169194,tec-ph-10003988,21.8
ca-2016-115742,off-bi-10004410,38.22
ca-2016-115742,off-la-10002762,75.18
ca-2016-115742,fur-fu-10001706,6.16
ca-2016-115742,fur-ch-10003061,89.99
ca-2017-105816,off-fa-10000304,15.26
ca-2017-105816,tec-ph-10002447,1029.95
ca-2017-111682,off-st-10000604,208.56
ca-2017-111682,off-pa-10001569,32.4
ca-2017-111682,fur-ch-10003968,319.41
ca-2017-111682,off-pa-10000587,14.56
ca-2017-111682,tec-ac-10002167,30.0
ca-2017-111682,off-bi-10001460,48.48
ca-2017-111682,off-ar-10001868,1.68
ca-2016-135545,tec-ac-10004633,13.98
ca-2016-135545,off-bi-10001078,25.824
ca-2016-135545,off-pa-10003892,146.73
ca-2016-135545,fur-fu-10000397,79.76
us-2016-164175,fur-ch-10001146,213.115
ca-2015-106376,off-ar-10002671,1113.024
ca-2015-106376,tec-ph-10002726,167.968
ca-2017-119823,off-pa-10000482,75.88
ca-2017-106075,off-bi-10004654,4.616
ca-2018-114440,off-pa-10004675,19.05
us-2016-134026,fur-ch-10000513,831.936
us-2016-134026,fur-fu-10003708,97.04
us-2016-134026,off-st-10004123,72.784
us-2018-118038,off-bi-10004182,1.248
us-2018-118038,fur-fu-10000260,9.708
us-2018-118038,off-st-10000615,27.24
us-2015-147606,fur-fu-10003194,19.3
ca-2017-127208,off-ap-10002118,208.16
ca-2017-127208,off-bi-10002309,16.74
ca-2015-139451,off-ar-10002053,14.9
ca-2015-139451,off-st-10002370,21.39
ca-2016-149734,off-en-10000927,200.984
us-2018-119662,off-st-10003656,230.376
ca-2018-140088,fur-ch-10000863,301.96
ca-2018-155558,tec-ac-10001998,19.99
ca-2018-155558,off-la-10000134,6.16
ca-2017-159695,off-st-10003442,158.368
ca-2017-109806,off-ar-10004930,20.1
ca-2017-109806,tec-ph-10004093,73.584
ca-2017-109806,off-pa-10000304,6.48
ca-2016-149587,off-pa-10003177,12.96
ca-2016-149587,fur-fu-10003799,53.34
ca-2016-149587,off-bi-10002852,32.96
us-2018-109484,off-bi-10004738,5.682
ca-2018-161018,fur-fu-10000629,96.53
ca-2018-157833,off-bi-10001721,51.312
ca-2017-149223,off-ap-10000358,77.88
ca-2017-158568,off-pa-10003256,64.624
ca-2017-158568,tec-ac-10001767,95.976
ca-2017-158568,off-bi-10002609,1.788
ca-2017-129903,off-pa-10004040,23.92
us-2016-156867,tec-ac-10001552,238.896
us-2016-156867,fur-fu-10004006,102.36
us-2016-156867,off-bi-10002794,36.882
ca-2018-119004,tec-ac-10003499,74.112
ca-2018-119004,tec-ph-10002844,27.992
ca-2018-119004,off-ar-10000390,3.304
ca-2016-129476,tec-ac-10000844,339.96
ca-2018-146780,fur-fu-10001934,41.96
ca-2017-128867,off-ar-10000380,75.96
ca-2017-128867,off-bi-10003981,27.24
ca-2015-115259,off-fa-10000621,40.096
ca-2015-115259,off-en-10002600,4.72
ca-2015-115259,off-pa-10004965,23.976
ca-2015-115259,off-en-10002504,130.464
ca-2016-110457,fur-ta-10001768,787.53
us-2016-136476,off-bi-10003650,157.794
ca-2017-103730,fur-fu-10002157,47.04
ca-2017-103730,off-bi-10003910,30.84
ca-2017-103730,off-st-10000777,226.56
ca-2017-103730,off-en-10002500,115.02
ca-2017-103730,tec-ph-10003875,68.04
us-2015-152030,fur-ch-10004063,600.558
us-2015-134614,fur-ta-10004534,617.7
us-2018-107272,off-bi-10003274,2.388
us-2018-107272,off-st-10002974,243.992
us-2017-125969,fur-ch-10001146,81.424
us-2017-125969,fur-fu-10003773,238.56
us-2018-164147,tec-ph-10002293,59.97
us-2018-164147,off-pa-10002377,78.304
us-2018-164147,off-fa-10003112,21.456
ca-2017-145583,off-pa-10001804,20.04
ca-2017-145583,off-pa-10001736,35.44
ca-2017-145583,off-ar-10001149,11.52
ca-2017-145583,off-fa-10002988,4.02
ca-2017-145583,off-bi-10004781,76.176
ca-2017-145583,off-su-10001218,65.88
ca-2017-145583,fur-fu-10001706,43.12
ca-2017-110366,fur-fu-10004848,82.8
ca-2018-106180,off-ar-10000940,8.82
ca-2018-106180,off-en-10004030,10.86
ca-2018-106180,off-pa-10004327,143.7
ca-2018-155376,off-ap-10001058,839.43
ca-2016-110744,off-st-10003656,671.93
ca-2015-110072,fur-fu-10000521,93.888
ca-2017-114489,tec-ph-10000215,384.45
ca-2017-114489,tec-ph-10001448,149.97
ca-2017-114489,fur-ch-10000454,1951.84
ca-2017-114489,off-bi-10002735,171.55
ca-2017-158834,off-ap-10000326,157.92
ca-2017-158834,tec-ph-10001254,203.184
ca-2016-124919,off-pa-10001950,58.38
ca-2016-124919,off-pa-10002254,105.52
ca-2016-124919,off-st-10001590,80.88
ca-2016-118948,off-ar-10001547,6.63
ca-2015-104269,fur-ch-10004063,457.568
ca-2017-114104,off-la-10002475,14.62
ca-2017-114104,tec-ph-10004536,944.93
ca-2017-162733,off-pa-10002751,5.98
ca-2016-119697,tec-ac-10003657,54.384
ca-2017-154508,off-en-10001539,28.4
ca-2017-113817,off-bi-10004002,27.68
ca-2015-139892,off-ar-10004441,9.936
ca-2015-139892,tec-ma-10000822,8159.952
ca-2015-139892,off-st-10000991,275.928
ca-2015-139892,fur-ch-10004287,1740.06
ca-2015-139892,off-ar-10002656,32.064
ca-2015-139892,off-ap-10002518,177.98
ca-2015-139892,tec-ph-10003931,143.976
ca-2015-118962,off-pa-10000659,20.94
ca-2015-118962,off-pa-10001144,110.96
ca-2015-118962,fur-ch-10003817,340.144
us-2015-100853,off-ap-10000891,52.448
us-2015-100853,off-la-10003148,20.16
us-2018-152366,off-ap-10002684,97.264
us-2016-101511,fur-ch-10004698,396.802
us-2016-101511,off-su-10002189,15.88
ca-2016-137225,off-ar-10001940,3.28
ca-2015-166191,off-st-10003455,24.816
ca-2015-166191,tec-ac-10004659,408.744
ca-2015-158274,tec-ph-10003273,503.96
ca-2015-158274,tec-ph-10004896,149.95
ca-2015-158274,tec-ac-10002345,29.0
ca-2017-105018,off-bi-10001890,7.16
ca-2015-123260,tec-ac-10002323,176.8
ca-2017-157000,off-st-10001328,37.224
ca-2017-157000,off-pa-10001950,20.016
ca-2016-102281,fur-bo-10002613,899.136
ca-2016-102281,tec-ph-10001552,71.76
ca-2016-102281,off-pa-10000061,51.84
ca-2016-102281,fur-bo-10002545,626.352
ca-2016-102281,off-ar-10003514,19.9
ca-2016-131457,off-en-10001509,14.28
ca-2015-140004,off-ar-10004685,7.408
ca-2015-140004,off-ar-10004027,6.048
ca-2018-107720,off-st-10001414,46.26
us-2018-124303,off-bi-10000343,2.946
us-2018-124303,off-pa-10002749,16.056
ca-2018-105074,off-pa-10002666,21.744
ca-2015-133690,fur-ta-10004289,218.75
ca-2015-133690,off-ap-10003622,2.6
us-2018-116701,off-ap-10003217,66.284
ca-2018-126382,fur-fu-10002960,35.168
ca-2018-108329,tec-ph-10001918,444.768
ca-2018-135860,off-st-10000642,83.92
ca-2018-135860,tec-ph-10001700,131.98
ca-2018-135860,off-bi-10003274,15.92
ca-2018-135860,off-fa-10000134,52.29
ca-2018-135860,off-st-10001522,91.99
ca-2016-101007,tec-ac-10001266,20.8
ca-2016-146262,off-la-10004544,23.68
ca-2016-146262,fur-bo-10004695,452.45
ca-2016-146262,tec-ph-10002844,62.982
ca-2016-146262,tec-ma-10000864,1188.0
ca-2016-146262,tec-ac-10000109,89.584
ca-2017-130162,off-st-10001328,93.06
ca-2017-130162,tec-ph-10002563,302.376
ca-2016-169397,off-fa-10000585,5.584
ca-2016-169397,off-pa-10004000,22.704
ca-2016-169397,off-bi-10002852,19.776
ca-2016-169397,fur-fu-10000087,72.704
ca-2016-169397,tec-ma-10001148,479.988
ca-2016-169397,off-ar-10001958,27.168
ca-2016-163055,off-ar-10001026,2.2
ca-2016-163055,fur-ta-10003748,622.45
ca-2016-163055,off-st-10002485,21.98
us-2016-145436,fur-ch-10004860,161.568
us-2016-145436,fur-ch-10004477,389.696
us-2015-156216,off-bi-10001679,18.648
us-2018-100930,fur-ta-10001705,233.86
us-2018-100930,fur-ta-10003473,620.6145
us-2018-100930,off-bi-10001679,5.328
us-2018-100930,fur-fu-10004017,258.072
us-2018-100930,tec-ac-10003832,617.976
ca-2018-160514,off-pa-10002479,10.56
ca-2017-157749,off-pa-10003349,25.92
ca-2017-157749,fur-fu-10000576,419.68
ca-2017-157749,fur-fu-10001940,11.688
ca-2017-157749,tec-ph-10000011,31.984
ca-2017-157749,fur-ta-10002607,177.225
ca-2017-157749,fur-fu-10002505,4.044
ca-2017-157749,off-ar-10004685,7.408
ca-2015-131926,fur-ch-10004063,2001.86
ca-2015-131926,off-st-10002276,166.72
ca-2015-131926,off-pa-10004082,47.88
ca-2015-131926,off-ap-10002945,1503.25
ca-2015-131926,off-pa-10000061,25.92
ca-2017-154739,fur-ch-10002965,321.568
ca-2017-145625,off-pa-10004569,7.61
ca-2017-145625,tec-ac-10003832,3347.37
ca-2017-146941,off-st-10001228,80.58
ca-2017-146941,off-en-10003296,361.92
us-2016-159982,fur-fu-10002505,12.132
us-2016-159982,off-st-10004804,82.368
us-2016-159982,off-st-10001590,53.92
us-2016-159982,tec-ph-10001580,647.904
ca-2018-163139,tec-ac-10000290,20.37
ca-2018-163139,off-st-10002790,221.55
ca-2018-163139,off-bi-10003460,17.52
us-2018-155299,off-ap-10002203,1.624
us-2015-106992,tec-ma-10000822,3059.982
us-2015-106992,tec-ma-10003353,2519.958
ca-2017-125318,tec-ph-10001433,328.224
ca-2016-155040,tec-ac-10004469,79.9
ca-2018-136826,off-ar-10003602,14.016
ca-2017-111010,off-fa-10003472,7.56
us-2018-145366,off-st-10004180,37.208
us-2018-145366,off-en-10004386,57.576
ca-2018-163979,off-st-10003208,725.84
ca-2016-155334,tec-ac-10003628,209.93
ca-2016-155334,fur-fu-10003274,5.28
ca-2016-155334,off-bi-10002557,10.92
ca-2018-118136,off-pa-10002615,8.82
ca-2018-118136,off-ar-10001427,5.98
ca-2018-132976,off-pa-10000673,11.648
ca-2018-132976,off-pa-10004470,18.176
ca-2018-132976,off-st-10000876,59.712
ca-2018-132976,off-la-10002043,24.84
us-2016-161991,off-bi-10004967,2.08
us-2016-161991,tec-ph-10001760,1114.4
ca-2016-130890,fur-ta-10002903,1038.84
ca-2016-130883,off-pa-10000474,141.76
ca-2016-130883,tec-ac-10001956,239.8
ca-2016-130883,off-pa-10004100,31.104
ca-2017-112697,off-bi-10000778,254.058
ca-2017-112697,off-ap-10002684,194.528
ca-2017-112697,off-su-10000646,961.48
ca-2017-110772,off-fa-10002983,19.096
ca-2017-110772,off-la-10004689,18.496
ca-2017-110772,tec-ac-10002001,255.984
ca-2017-110772,fur-bo-10004709,86.97
ca-2015-111451,fur-fu-10004091,300.416
ca-2015-111451,fur-ch-10001891,230.352
ca-2015-111451,fur-fu-10002918,218.352
ca-2015-111451,off-bi-10004593,78.6
ca-2015-111451,off-fa-10004854,27.552
ca-2017-142545,off-pa-10002105,32.4
ca-2017-142545,off-st-10002756,1082.48
ca-2017-142545,off-pa-10004243,56.91
ca-2017-142545,fur-fu-10001861,77.6
ca-2017-142545,off-bi-10002706,14.28
us-2018-152380,fur-ta-10002533,219.075
ca-2016-144253,fur-fu-10002671,26.8
ca-2015-130960,off-ar-10003651,9.84
ca-2015-111003,off-bi-10001072,45.48
ca-2015-111003,off-ar-10002135,289.2
ca-2018-126774,off-ar-10002804,4.89
ca-2017-142902,fur-fu-10001918,15.136
ca-2017-142902,fur-ch-10004086,466.768
ca-2017-142902,fur-fu-10001756,15.232
ca-2017-142902,off-la-10000634,6.264
ca-2015-120887,fur-fu-10001588,87.54
ca-2015-167850,tec-ph-10002398,178.384
ca-2015-167850,off-pa-10001937,15.552
ca-2015-164259,off-ar-10003373,99.136
ca-2015-164973,fur-ch-10002602,135.882
ca-2015-164973,tec-ma-10002927,3991.98
ca-2015-164973,tec-ph-10004093,275.94
ca-2015-164973,tec-ac-10000892,360.0
ca-2015-164973,off-st-10002974,43.57
ca-2015-156601,off-fa-10000624,7.16
ca-2017-162138,off-bi-10004593,251.52
ca-2017-162138,tec-ac-10001908,99.99
ca-2018-153339,fur-fu-10001967,15.992
us-2017-141544,tec-ph-10003645,290.898
us-2017-141544,off-st-10000675,54.224
us-2017-141544,fur-ch-10003312,786.744
us-2017-141544,off-la-10001074,100.24
us-2017-141544,off-bi-10001524,37.764
us-2017-150147,tec-ph-10004614,82.8
us-2017-150147,off-bi-10001153,20.724
us-2017-150147,off-bi-10001982,4.896
ca-2016-137946,off-bi-10004364,4.752
ca-2016-137946,tec-co-10001449,959.984
ca-2016-137946,off-bi-10004140,14.368
ca-2015-129924,off-bi-10003314,7.712
ca-2015-129924,fur-ta-10004575,698.352
ca-2016-128167,off-fa-10000490,4.96
ca-2015-122336,off-ar-10000122,17.856
ca-2015-122336,off-bi-10003656,509.97
ca-2015-122336,off-fa-10003112,30.992
ca-2015-122336,tec-ph-10000702,71.928
us-2016-120712,off-st-10000107,88.8
ca-2018-169901,tec-ph-10002293,47.976
ca-2018-134306,off-ar-10004027,7.56
ca-2018-134306,off-pa-10000474,24.56
ca-2018-134306,off-ar-10001374,12.96
ca-2017-129714,tec-ac-10000290,6.79
ca-2017-129714,off-pa-10001970,24.56
ca-2017-129714,off-bi-10002160,3.048
ca-2017-129714,off-pa-10001970,49.12
ca-2017-129714,off-bi-10004995,4355.168
ca-2017-138520,fur-bo-10002268,388.704
ca-2017-138520,off-en-10001137,8.26
ca-2017-138520,off-ar-10002399,17.04
ca-2017-138520,off-pa-10002713,34.4
ca-2017-130001,off-pa-10002666,36.24
ca-2018-155698,off-ap-10001124,647.84
ca-2018-155698,off-la-10001158,20.7
ca-2018-144904,off-la-10001158,20.7
ca-2018-144904,fur-ch-10000785,488.646
ca-2018-144904,off-ar-10003732,5.56
ca-2018-144904,fur-fu-10000023,47.12
ca-2015-123344,off-st-10001713,211.96
ca-2017-155516,off-bi-10002412,23.2
ca-2017-155516,off-su-10001225,7.36
ca-2017-155516,off-st-10002406,104.79
ca-2017-155516,fur-bo-10002545,1043.92
ca-2018-104745,off-pa-10002036,25.92
ca-2018-104745,off-st-10002205,53.424
us-2015-119137,off-bi-10001982,8.16
us-2015-119137,tec-ac-10003911,1023.936
us-2015-119137,off-ar-10000658,9.24
us-2015-119137,tec-ac-10002076,479.04
us-2017-134656,off-pa-10003039,99.136
us-2018-134481,fur-ta-10004915,1488.424
ca-2016-130792,off-ap-10000696,8.652
ca-2016-130792,off-st-10003327,23.832
ca-2016-130792,off-bi-10000309,12.176
ca-2017-134775,off-pa-10004734,50.96
ca-2017-134775,off-bi-10002225,49.536
ca-2016-125395,tec-ac-10004708,41.9
us-2016-168935,fur-ta-10000617,375.4575
us-2016-168935,tec-ac-10002335,83.976
ca-2016-122756,tec-ma-10001681,482.34
ca-2016-122756,fur-fu-10001935,2.96
ca-2015-115973,off-ar-10004757,2.624
ca-2018-101798,off-bi-10000050,23.36
ca-2018-101798,tec-ac-10001998,39.98
us-2015-135972,tec-ph-10003012,246.384
us-2015-135972,tec-co-10002313,1799.97
us-2015-134971,off-bi-10003982,12.462
ca-2018-102946,off-bi-10004492,75.792
ca-2018-165603,off-st-10000798,49.96
ca-2018-165603,off-pa-10002552,12.96
ca-2016-122259,off-su-10002573,70.12
ca-2017-108987,off-st-10001580,35.952
ca-2017-108987,fur-bo-10004834,2396.2656
