product_id,product_name,category,sub_category
fur-bo-10001798,bush_somerset_collection_bookcase,Furniture,bookcases
fur-ch-10000454,"hon_deluxe_fabric_upholstered_stacking_chairs,_rounded_back",Furniture,chairs
off-la-10000240,self-adhesive_address_labels_for_typewriters_by_universal,Office Supplies,labels
fur-ta-10000577,bretford_cr4500_series_slim_rectangular_table,Furniture,tables
off-st-10000760,eldon_fold_'n_roll_cart_system,Office Supplies,storage
fur-fu-10001487,"eldon_expressions_wood_and_plastic_desk_accessories,_cherry_wood",Furniture,furnishings
off-ar-10002833,newell_322,Office Supplies,art
tec-ph-10002275,mitel_5320_ip_phone_voip_phone,Technology,phones
off-bi-10003910,dxl_angle-view_binders_with_locking_rings_by_samsill,Office Supplies,binders
off-ap-10002892,belkin_f5c206vtel_6_outlet_surge,Office Supplies,appliances
fur-ta-10001539,chromcraft_rectangular_conference_tables,Furniture,tables
tec-ph-10002033,konftel_250_conference_phone_-_charcoal_black,Technology,phones
off-pa-10002365,xerox_1967,Office Supplies,paper
off-bi-10003656,fellowes_pb200_plastic_comb_binding_machine,Office Supplies,binders
off-ap-10002311,"holmes_replacement_filter_for_hepa_air_cleaner,_very_large_room,_hepa_filter",Office Supplies,appliances
off-bi-10000756,storex_duratech_recycled_plastic_frosted_binders,Office Supplies,binders
off-st-10004186,"stur-d-stor_shelving,_vertical_5-shelf:_72""h_x_36""w_x_18_1/2""d",Office Supplies,storage
off-st-10000107,fellowes_super_stor/drawer,Office Supplies,storage
off-ar-10003056,newell_341,Office Supplies,art
tec-ph-10001949,cisco_spa_501g_ip_phone,Technology,phones
off-bi-10002215,"wilson_jones_hanging_view_binder,_white,_1""",Office Supplies,binders
off-ar-10000246,newell_318,Office Supplies,art
off-ap-10001492,"acco_six-outlet_power_strip,_4'_cord_length",Office Supplies,appliances
fur-ch-10002774,"global_deluxe_stacking_chair,_gray",Furniture,chairs
off-bi-10001634,wilson_jones_active_use_binders,Office Supplies,binders
tec-ac-10003027,imation_8gb_mini_traveldrive_usb_2.0_flash_drive,Technology,accessories
fur-bo-10004834,"riverside_palais_royal_lawyers_bookcase,_royale_cherry_finish",Furniture,bookcases
off-bi-10000474,avery_recycled_flexi-view_covers_for_binding_systems,Office Supplies,binders
fur-fu-10004848,"howard_miller_13-3/4""_diameter_brushed_chrome_round_wall_clock",Furniture,furnishings
off-en-10001509,poly_string_tie_envelopes,Office Supplies,envelopes
off-ar-10004042,"boston_model_1800_electric_pencil_sharpeners,_putty/woodgrain",Office Supplies,art
off-bi-10001525,"acco_pressboard_covers_with_storage_hooks,_14_7/8""_x_11"",_executive_red",Office Supplies,binders
off-ar-10001683,lumber_crayons,Office Supplies,art
off-pa-10000474,easy-staple_paper,Office Supplies,paper
tec-ph-10004977,ge_30524ee4,Technology,phones
fur-fu-10003664,"electrix_architect's_clamp-on_swing_arm_lamp,_black",Furniture,furnishings
off-en-10002986,"#10-4_1/8""_x_9_1/2""_premium_diagonal_seam_envelopes",Office Supplies,envelopes
fur-bo-10002545,"atlantic_metals_mobile_3-shelf_bookcases,_custom_colors",Furniture,bookcases
fur-ch-10004218,"global_fabric_manager's_chair,_dark_gray",Furniture,chairs
tec-ph-10000486,plantronics_hl10_handset_lifter,Technology,phones
tec-ph-10004093,panasonic_kx-ts550,Technology,phones
off-st-10003479,"eldon_base_for_stackable_storage_shelf,_platinum",Office Supplies,storage
off-st-10003282,"advantus_10-drawer_portable_organizer,_chrome_metal_frame,_smoke_drawers",Office Supplies,storage
tec-ac-10000171,"verbatim_25_gb_6x_blu-ray_single_layer_recordable_disc,_25/pack",Technology,accessories
off-bi-10003291,wilson_jones_leather-like_binders_with_dubllock_round_rings,Office Supplies,binders
off-st-10001713,"gould_plastics_9-pocket_panel_bin,_18-3/8w_x_5-1/4d_x_20-1/2h,_black",Office Supplies,storage
tec-ac-10002167,imation_8gb_micro_traveldrive_usb_2.0_flash_drive,Technology,accessories
tec-ph-10003988,"lf_elite_3d_dazzle_designer_hard_case_cover,_lf_stylus_pen_and_wiper_for_apple_iphone_5c_mini_lite",Technology,phones
off-bi-10004410,"c-line_peel_&_stick_add-on_filing_pockets,_8-3/4_x_5-1/8,_10/pack",Office Supplies,binders
off-la-10002762,avery_485,Office Supplies,labels
fur-fu-10001706,longer-life_soft_white_bulbs,Furniture,furnishings
fur-ch-10003061,"global_leather_task_chair,_black",Furniture,chairs
off-fa-10000304,advantus_push_pins,Office Supplies,fasteners
tec-ph-10002447,at&t_cl83451_4-handset_telephone,Technology,phones
off-st-10000604,home/office_personal_file_carts,Office Supplies,storage
off-pa-10001569,xerox_232,Office Supplies,paper
fur-ch-10003968,novimex_turbo_task_chair,Furniture,chairs
off-pa-10000587,"array_parchment_paper,_assorted_colors",Office Supplies,paper
off-bi-10001460,plastic_binding_combs,Office Supplies,binders
off-ar-10001868,prang_dustless_chalk_sticks,Office Supplies,art
tec-ac-10004633,"verbatim_25_gb_6x_blu-ray_single_layer_recordable_disc,_3/pack",Technology,accessories
off-bi-10001078,"acco_presstex_data_binder_with_storage_hooks,_dark_blue,_14_7/8""_x_11""",Office Supplies,binders
off-pa-10003892,xerox_1943,Office Supplies,paper
fur-fu-10000397,luxo_economy_swing_arm_lamp,Furniture,furnishings
fur-ch-10001146,"global_value_mid-back_manager's_chair,_gray",Furniture,chairs
off-ar-10002671,"hunt_boston_model_1606_high-volume_electric_pencil_sharpener,_beige",Office Supplies,art
tec-ph-10002726,nettalk_duo_voip_telephone_service,Technology,phones
off-pa-10000482,"snap-a-way_black_print_carbonless_ruled_speed_letter,_triplicate",Office Supplies,paper
off-bi-10004654,avery_binding_system_hidden_tab_executive_style_index_sets,Office Supplies,binders
off-pa-10004675,"telephone_message_books_with_fax/mobile_section,_5_1/2""_x_3_3/16""",Office Supplies,paper
fur-ch-10000513,high-back_leather_manager's_chair,Furniture,chairs
fur-fu-10003708,"tenex_traditional_chairmats_for_medium_pile_carpet,_standard_lip,_36""_x_48""",Furniture,furnishings
off-st-10004123,safco_industrial_wire_shelving_system,Office Supplies,storage
off-bi-10004182,economy_binders,Office Supplies,binders
fur-fu-10000260,"6""_cubicle_wall_clock,_black",Furniture,furnishings
off-st-10000615,"simplifile_personal_file,_black_granite,_15w_x_6-15/16d_x_11-1/4h",Office Supplies,storage
fur-fu-10003194,"eldon_expressions_desk_accessory,_wood_pencil_holder,_oak",Furniture,furnishings
off-ap-10002118,"1.7_cubic_foot_compact_""cube""_office_refrigerators",Office Supplies,appliances
off-bi-10002309,avery_heavy-duty_ezd_binder_with_locking_rings,Office Supplies,binders
off-ar-10002053,"premium_writing_pencils,_soft,_#2_by_central_association_for_the_blind",Office Supplies,art
off-st-10002370,"sortfiler_multipurpose_personal_file_organizer,_black",Office Supplies,storage
off-en-10000927,jet-pak_recycled_peel_'n'_seal_padded_mailers,Office Supplies,envelopes
off-st-10003656,safco_industrial_wire_shelving,Office Supplies,storage
fur-ch-10000863,novimex_swivel_fabric_task_chair,Furniture,chairs
tec-ac-10001998,logitech_ls21_speaker_system_-_pc_multimedia_-_2.1-ch_-_wired,Technology,accessories
off-la-10000134,avery_511,Office Supplies,labels
off-st-10003442,eldon_portable_mobile_manager,Office Supplies,storage
off-ar-10004930,turquoise_lead_holder_with_pocket_clip,Office Supplies,art
off-pa-10000304,xerox_1995,Office Supplies,paper
off-pa-10003177,xerox_1999,Office Supplies,paper
fur-fu-10003799,"seth_thomas_13_1/2""_wall_clock",Furniture,furnishings
off-bi-10002852,ibico_standard_transparent_covers,Office Supplies,binders
off-bi-10004738,flexible_leather-_look_classic_collection_ring_binder,Office Supplies,binders
fur-fu-10000629,9-3/4_diameter_round_wall_clock,Furniture,furnishings
off-bi-10001721,trimflex_flexible_post_binders,Office Supplies,binders
off-ap-10000358,fellowes_basic_home/office_series_surge_protectors,Office Supplies,appliances
off-pa-10003256,avery_personal_creations_heavyweight_cards,Office Supplies,paper
tec-ac-10001767,sandisk_ultra_64_gb_microsdhc_class_10_memory_card,Technology,accessories
off-bi-10002609,avery_hidden_tab_dividers_for_binding_systems,Office Supplies,binders
off-pa-10004040,universal_premium_white_copier/laser_paper_(20lb._and_87_bright),Office Supplies,paper
tec-ac-10001552,logitech_k350_2.4ghz_wireless_keyboard,Technology,accessories
fur-fu-10004006,"deflect-o_duramat_lighweight,_studded,_beveled_mat_for_low_pile_carpeting",Furniture,furnishings
off-bi-10002794,"avery_trapezoid_ring_binder,_3""_capacity,_black,_1040_sheets",Office Supplies,binders
tec-ac-10003499,memorex_mini_travel_drive_8_gb_usb_2.0_flash_drive,Technology,accessories
tec-ph-10002844,speck_products_candyshell_flip_case,Technology,phones
off-ar-10000390,newell_chalk_holder,Office Supplies,art
tec-ac-10000844,logitech_gaming_g510s_-_keyboard,Technology,accessories
fur-fu-10001934,magnifier_swing_arm_lamp,Furniture,furnishings
off-ar-10000380,"hunt_powerhouse_electric_pencil_sharpener,_blue",Office Supplies,art
off-bi-10003981,"avery_durable_plastic_1""_binders",Office Supplies,binders
off-fa-10000621,"oic_colored_binder_clips,_assorted_sizes",Office Supplies,fasteners
off-en-10002600,"redi-strip_#10_envelopes,_4_1/8_x_9_1/2",Office Supplies,envelopes
off-pa-10004965,xerox_1921,Office Supplies,paper
off-en-10002504,"tyvek_top-opening_peel_&_seel_envelopes,_plain_white",Office Supplies,envelopes
fur-ta-10001768,hon_racetrack_conference_tables,Furniture,tables
off-bi-10003650,gbc_docubind_300_electric_binding_machine,Office Supplies,binders
fur-fu-10002157,artistic_insta-plaque,Furniture,furnishings
off-st-10000777,"companion_letter/legal_file,_black",Office Supplies,storage
off-en-10002500,globe_weis_peel_&_seel_first_class_envelopes,Office Supplies,envelopes
tec-ph-10003875,kld_oscar_ii_style_snap-on_ultra_thin_side_flip_synthetic_leather_cover_case_for_htc_one_htc_m7,Technology,phones
